company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
/company/aaromba-technologies,Aaromba Technologies,software,AUS,,North Sydney,North Sydney,/company/csg-limited,CSG Limited,software,AUS,,Darwin NT,Darwin NT,6/2/10,2010-06,2010-Q2,2010,,USD
/company/aaron-walton-entertainment,Aaron Walton Entertainment,,,,unknown,,/company/omnicom-group,Omnicom Group,,USA,NY,New York,New York,4/26/02,2002-04,2002-Q2,2002,,USD
/company/aastra-technologies,Aastra Technologies,,CAN,,TBD,ON L4K 4N9,/company/mitel-networks-corporation,Mitel Networks Corporation,public_relations,CAN,,Kanata,Kanata,11/11/13,2013-11,2013-Q4,2013,,USD
/company/abacus-ew-consultancy,Abacus EW Consultancy,,GBR,,Wellingore,Wellingore,/company/mass-consultants,Mass Consultants,,GBR,,Cambridgeshire,Cambridgeshire,5/1/10,2010-05,2010-Q2,2010,,USD
/company/abacus-international,Abacus International,,,,unknown,,/company/decision-resources-group,Decision Resources Group,,USA,MA,Boston,Burlington,12/4/12,2012-12,2012-Q4,2012,,USD
/company/abacus-transcriptions,Abacus Transcriptions,,USA,TX,Houston,Houston,/company/imedx,iMedX,enterprise,USA,GA,Atlanta,Atlanta,12/21/11,2011-12,2011-Q4,2011,,USD
/company/abaxia,Abaxia,software,FRA,,Paris,Neuilly sur Seine,/company/htc,HTC Corp,hardware,USA,WA,Seattle,Bellevue,6/7/10,2010-06,2010-Q2,2010,"13,000,000",USD
/company/abb-cade,ABB CADE,,,,unknown,,/company/hewlett-packard,Hewlett-Packard,web,USA,CA,SF Bay,Palo Alto,12/31/91,1991-12,1991-Q4,1991,,USD
/company/abc-software,ABC Software,,,,unknown,,/company/electronicarts,Electronic Arts,games_video,USA,WA,SF Bay,Redwood City,7/28/98,1998-07,1998-Q3,1998,,USD
/company/abcro,AbCRO,biotech,USA,,Los Angeles,"Wilmington,",/company/ppd,PPD,biotech,USA,NC,Wilmington,Wilmington,4/21/09,2009-04,2009-Q2,2009,,USD
