company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd 
/company/3d-future-vision-ii,3D FUTURE VISION II,games_video,USA,FL,Orlando,LONGWOOD,venture,6/22/11,2011-06,2011-Q2,2011,"379,000"
/company/3d-future-vision-ii,3D FUTURE VISION II,games_video,USA,FL,Orlando,LONGWOOD,venture,3/21/13,2013-03,2013-Q1,2013,"124,000"
/company/3d-hubs,3D Hubs,web,NLD,,Amsterdam,Amsterdam,angel,8/27/13,2013-08,2013-Q3,2013,
/company/3d-industri-es,3D Industri.es,web,,,unknown,,angel,3/1/12,2012-03,2012-Q1,2012,"350,000"
/company/3d-industri-es,3D Industri.es,web,,,unknown,,angel,3/1/13,2013-03,2013-Q1,2013,"850,000"
/company/3d-robotics,3D Robotics,manufacturing,USA,CA,San Diego,San Diego,series-a,11/5/12,2012-11,2012-Q4,2012,"5,000,000"
/company/3d-robotics,3D Robotics,manufacturing,USA,CA,San Diego,San Diego,series-b,9/12/13,2013-09,2013-Q3,2013,"30,000,000"
/company/3d-sports-technology,3D Sports Technology,software,USA,MN,Minneapolis,Minneapolis,venture,6/7/12,2012-06,2012-Q2,2012,"110,000"
/company/3d-sports-technology,3D Sports Technology,software,USA,MN,Minneapolis,Minneapolis,venture,1/21/11,2011-01,2011-Q1,2011,"505,000"
/company/3d-sports-technology,3D Sports Technology,software,USA,MN,Minneapolis,Minneapolis,venture,7/25/13,2013-07,2013-Q3,2013,"294,940"
/company/3d-systems,3D Systems,software,USA,SC,Rock Hill,Rock Hill,venture,1/13/10,2010-01,2010-Q1,2010,"1,000,000"
/company/3d-systems,3D Systems,software,USA,SC,Rock Hill,Rock Hill,series-a,6/7/12,2012-06,2012-Q2,2012,"3,144,131"
/company/3d-vision-systems,3d Vision Systems,hardware,USA,MI,Detroit,Ann Arbor,venture,12/3/12,2012-12,2012-Q4,2012,"150,000"
