company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd ,
/company/cequint,Cequint,software,USA,WA,Seattle,Seattle,/company/admitone-security,AdmitOne Security,security,USA,WA,Seattle,Issaquah,series-a,4/1/06,2006-04,2006-Q2,2006,"510,000",
/company/56-com,56.com,games_video,CHN,,Guangzhou,Guangzhou,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-b,12/1/07,2007-12,2007-Q4,2007,"20,000,000",
/company/veoh,Veoh,games_video,USA,CA,San Diego,San Diego,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-c+,6/3/08,2008-06,2008-Q2,2008,"30,000,000",
/company/demandbase,Demandbase,analytics,USA,CA,SF Bay,San Francisco,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-b,8/25/08,2008-08,2008-Q3,2008,"8,000,000",
/company/scanr,scanR,mobile,USA,CA,SF Bay,Palo Alto,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-b,3/22/07,2007-03,2007-Q1,2007,"8,000,000",
/company/demandbase,Demandbase,analytics,USA,CA,SF Bay,San Francisco,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-c+,5/12/11,2011-05,2011-Q2,2011,"10,000,000",
/company/demandbase,Demandbase,analytics,USA,CA,SF Bay,San Francisco,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-c+,3/28/13,2013-03,2013-Q1,2013,"15,000,000",
/company/scrybe,Scrybe,enterprise,USA,CA,SF Bay,San Francisco,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,venture,1/1/12,2012-01,2012-Q1,2012,"1,009,000",
/company/the-virtual-pulp-company,The Virtual Pulp Company,advertising,SWE,,Stockholm,Stockholm,/company/adtoma,Adtoma,advertising,SWE,,Stockholm,Stockholm,angel,7/1/13,2013-07,2013-Q3,2013,"250,000",
/company/wanderful-media,Wanderful Media,advertising,USA,CA,SF Bay,Los Gatos,/company/advance-digital,Advance Digital,,,,unknown,,venture,5/21/13,2013-05,2013-Q2,2013,"9,000,000",
/company/kno,Kno,software,USA,CA,SF Bay,Santa Clara,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-c+,4/6/11,2011-04,2011-Q2,2011,"37,294,997",
/company/visible-measures,Visible Measures,advertising,USA,MA,Boston,Boston,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-c+,9/22/11,2011-09,2011-Q3,2011,"13,000,000",
/company/unified,Unified,enterprise,USA,CA,New York,New York,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,venture,6/7/12,2012-06,2012-Q2,2012,"14,000,000",
/company/visible-measures,Visible Measures,advertising,USA,MA,Boston,Boston,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,venture,8/14/12,2012-08,2012-Q3,2012,"21,500,000",
/company/newsle,Newsle,web,USA,CA,SF Bay,San Francisco,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-a,10/29/13,2013-10,2013-Q4,2013,"1,849,997",
/company/gigya,Gigya,enterprise,USA,CA,SF Bay,Mountain View,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-c+,9/19/13,2013-09,2013-Q3,2013,"25,000,000",
/company/urban-compass,Urban Compass,web,USA,NY,New York,New York,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-a,9/25/13,2013-09,2013-Q3,2013,"20,000,000",
/company/newsle,Newsle,web,USA,CA,SF Bay,San Francisco,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-a,11/8/13,2013-11,2013-Q4,2013,"200,000",
/company/row44,Row44,network_hosting,USA,CA,Los Angeles,Westlake Village,/company/advanced-inflight-alliance,Advanced Inflight Alliance,,,,unknown,,venture,6/11/12,2012-06,2012-Q2,2012,"45,000,000",
/company/avancert,Avancert,software,NZL,,New Zealand - Other,,/company/advancer,Advancer,,,,unknown,,angel,6/15/10,2010-06,2010-Q2,2010,"10,000",
/company/cn-creative,CN Creative,biotech,GBR,,Manchester,Manchester,/company/advent-life-sciences,Advent Life Sciences,,,,unknown,,series-a,1/26/12,2012-01,2012-Q1,2012,"3,137,232",
/company/vestagen-technical-textiles,Vestagen Technical Textiles,health,USA,FL,Orlando,Orlando,/company/advent-life-sciences,Advent Life Sciences,,,,unknown,,venture,8/27/13,2013-08,2013-Q3,2013,"8,250,000",
/company/vestagen-technical-textiles,Vestagen Technical Textiles,health,USA,FL,Orlando,Orlando,/company/advent-life-sciences,Advent Life Sciences,,,,unknown,,series-a,12/10/13,2013-12,2013-Q4,2013,"7,300,000",
/company/oceans-inc,Oceans Inc.,social,JPN,,Tokyo,Tokyo,/company/adways,Adways,advertising,JPN,,Shinjuku,"Shinjuku, Tokyo",series-a,12/14/11,2011-12,2011-Q4,2011,"1,000,000",
/company/bypass-lane,Bypass Mobile,mobile,USA,TX,Austin,Austin,/company/aeg,AEG,,USA,CA,Los Angeles,Los Angeles,venture,4/10/13,2013-04,2013-Q2,2013,"3,500,000",
/company/tigerspike,Tigerspike,enterprise,GBR,,London,London,/company/aegis-media,Aegis Media,advertising,USA,NY,New York,New York,venture,7/18/11,2011-07,2011-Q3,2011,"11,000,000",
/company/greatpoint-energy,GreatPoint Energy,cleantech,USA,MA,Boston,Cambridge,/company/aes-corporation,AES Corporation,semiconductor,USA,,Boston,Boston,series-c+,9/24/07,2007-09,2007-Q3,2007,"100,000,000",
/company/gobbler,Gobbler,enterprise,USA,CA,Los Angeles,Hollywood,/company/af-square-llc,"AF Square, LLC",,,,unknown,,series-a,1/23/12,2012-01,2012-Q1,2012,"1,750,000",
/company/community-medical-centers,Community Medical Centers,medical,USA,CA,Clovis,Clovis,/company/affordable-care-act,Affordable Care Act,,,,unknown,,other,11/8/13,2013-11,2013-Q4,2013,"700,000",
